1 100 -10 10 60
0 -4
1 5
2 30
3 77
4 152
5 261
6 410
7 605
8 852
9 1157
10 1526
11 1965
12 2480
13 3077
14 3762
15 4541
16 5420
17 6405
18 7502
19 8717
20 10056
21 11525
22 13130
23 14877
24 16772
25 18821
26 21030
27 23405
28 25952
29 28677
30 31586
31 34685
32 37980
33 41477
34 45182
35 49101
36 53240
37 57605
38 62202
39 67037
40 72116
41 77445
42 83030
43 88877
44 94992
45 101381
46 108050
47 115005
48 122252
49 129797
50 137646
51 145805
52 154280
53 163077
54 172202
55 181661
56 191460
57 201605
58 212102
59 222957
