1 100 -5 5 63
0.0 -2.0
1.0 -1.0
2.0 2.0
3.0 7.0
4.0 14.0
5.0 23.0
6.0 34.0
7.0 47.0
8.0 62.0
9.0 79.0
10.0 98.0
11.0 119.0
12.0 142.0
13.0 167.0
14.0 194.0
15.0 223.0
16.0 254.0
17.0 287.0
18.0 322.0
19.0 359.0
20.0 398.0
21.0 439.0
22.0 482.0
23.0 527.0
24.0 574.0
25.0 623.0
26.0 674.0
27.0 727.0
28.0 782.0
29.0 839.0
30.0 898.0
31.0 959.0
32.0 1022.0
33.0 1087.0
34.0 1154.0
35.0 1223.0
36.0 1294.0
37.0 1367.0
38.0 1442.0
39.0 1519.0
40.0 1598.0
41.0 1679.0
42.0 1762.0
43.0 1847.0
44.0 1934.0
45.0 2023.0
46.0 2114.0
47.0 2207.0
48.0 2302.0
49.0 2399.0
50.0 2498.0
51.0 2599.0
52.0 2702.0
53.0 2807.0
54.0 2914.0
55.0 3023.0
56.0 3134.0
57.0 3247.0
58.0 3362.0
59.0 3479.0
60.0 3598.0
61.0 3719.0
62.0 3842.0
