1 100 -40 40 60
0 -4
1 39
2 106
3 233
4 480
5 931
6 1694
7 2901
8 4708
9 7295
10 10866
11 15649
12 21896
13 29883
14 39910
15 52301
16 67404
17 85591
18 107258
19 132825
20 162736
21 197459
22 237486
23 283333
24 335540
25 394671
26 461314
27 536081
28 619608
29 712555
30 815606
31 929469
32 1054876
33 1192583
34 1343370
35 1508041
36 1687424
37 1882371
38 2093758
39 2322485
40 2569476
41 2835679
42 3122066
43 3429633
44 3759400
45 4112411
46 4489734
47 4892461
48 5321708
49 5778615
50 6264346
51 6780089
52 7327056
53 7906483
54 8519630
55 9167781
56 9852244
57 10574351
58 11335458
59 12136945
